Common name,Lat_Min,Lat_Max,Lon_Min,Lon_Max,Year_Min,Year_Max,Count
American Golden Plover,57.311075,57.643397,-1.9933439999999998,-1.90953,2004.0,2007.0,8
American Wigeon,57.10110699999999,57.61645,-2.91772,-0.349152,1996.0,2008.0,42
Arctic Skua,56.753415000000004,57.697322,-3.678743,-1.7514060000000002,1970.0,2009.0,944
Arctic Tern,56.762398,57.697322,-3.0998330000000003,-1.7763490000000002,1993.0,1995.0,307
Arctic Warbler,57.32904,57.32904,-1.993341,-1.993341,2010.0,2010.0,1
Auks,57.032522,57.513001,-2.14167,-1.7514060000000002,2004.0,2004.0,186
Avocet,57.320057999999996,57.625404,-2.0099560000000003,-1.8593810000000002,1983.0,2005.0,27
Baird's Sandpiper,57.311075,57.320057999999996,-1.9933439999999998,-1.9933419999999997,2007.0,2007.0,3
Balearic Shearwater,57.131403000000006,57.697322,-2.059452,-1.7763490000000002,2005.0,2005.0,6
Bar-tailed Godwit,56.717307,57.717907999999994,-3.601829,-1.7514060000000002,1992.0,2010.0,592
Barn Owl,56.288216000000006,57.691134999999996,-4.124251999999999,-1.7514060000000002,1883.0,2009.0,405
Barnacle Goose,56.762398,57.696977000000004,-3.678743,-1.752014,1988.0,2010.0,801
Barred Warbler,56.987565000000004,57.607402,-2.17441,-1.8092119999999998,2000.0,2010.0,51
Barrow's Goldeneye,57.315540000000006,57.625404,-2.009951,-1.876089,2005.0,2005.0,20
Bearded Tit,57.1,57.6,-2.8,-1.9,2000.0,2002.0,4
Belted Kingfisher,57.09522,57.09522,-2.257432,-2.257432,2005.0,2005.0,8
Bewick's Swan,57.32904,57.355989,-1.993341,-1.9434900000000002,2010.0,2010.0,6
Bittern,56.349573,57.634386,-3.514473,-1.8760580000000002,1974.0,1974.0,68
Black Duck,57.60719399999999,57.60719399999999,-2.277779,-2.277779,2004.0,2004.0,8
Black Grouse,56.55,57.81,-4.01,-2.24,1960.0,1998.0,430
Black Guillemot,56.969547999999996,57.706281000000004,-3.314157,-1.7514060000000002,1995.0,2010.0,399
Black Kite,57.095147999999995,57.21224,-2.290438,-2.0761380000000003,2005.0,2005.0,3
Black Redstart,56.674229000000004,57.697322,-3.413233,-1.7514060000000002,1982.0,2010.0,161
Black Stork,57.32904,57.32904,-1.993341,-1.993341,1998.0,1998.0,1
Black Tern,57.032522,57.697322,-2.9172759999999998,-1.7514060000000002,1980.0,2005.0,62
Black-Backed Gull,57.670226,57.697258,-2.194443,-2.127484,2007.0,2007.0,2
Black-headed Bunting,57.58501700000001,57.61645,-1.918037,-1.9095970000000002,2005.0,2005.0,4
Black-headed Gull,55.920652000000004,57.717907999999994,-4.330082,-1.7514060000000002,1900.0,2010.0,1259
Black-necked Grebe,57.2,57.6,-2.4,-1.9,1988.0,2008.0,39
Black-tailed Godwit,56.8,57.7,-3.7,-1.8,1985.0,2009.0,905
Black-throated Diver,56.77,57.7,-3.68,-1.75141,1900.0,2009.0,123
Black-winged Stilt,57.32904,57.32904,-1.993341,-1.993341,1984.0,1984.0,1
Blackbird,54.826663,57.703109,-4.344306,-1.7514060000000002,1900.0,2010.0,2038
Blackcap,56.386272,57.687994999999994,-4.022568,-1.7763490000000002,1984.0,2010.0,720
Blue Tit,55.923501,57.703109,-4.330082,-1.7929869999999999,1900.0,2010.0,1342
Blue-headed Wagtail,57.36495,57.36495,-1.926838,-1.926838,2004.0,2004.0,1
Blue-winged Teal,57.315540000000006,57.373948,-2.026576,-1.9186349999999999,2000.0,2000.0,8
Bluethroat,57.131403000000006,57.660546999999994,-3.678743,-1.792936,1985.0,2009.0,34
Blyth's Pipit,57.499541,57.499541,-1.793089,-1.793089,2000.0,2000.0,1
Blyth's Reed Warbler,57.311075,57.311075,-1.9933439999999998,-1.9933439999999998,2010.0,2010.0,1
Bonaparte's Gull,57.283616,57.688340000000004,-2.358272,-1.7762939999999998,2005.0,2008.0,48
Booted Warbler,57.32904,57.338023,-2.009951,-1.993341,2000.0,2000.0,2
Brambling,56.2,57.7,-3.9,-1.75141,1980.0,2010.0,580
Brent Goose,56.762398,57.697322,-3.0998330000000003,-1.7514060000000002,1986.0,2010.0,247
Bridled Tern,57.32904,57.32904,-1.993341,-1.993341,1998.0,1998.0,1
British Dipper,57.113388,57.113388,-2.125468,-2.125468,2008.0,2008.0,1
Broad-billed Sandpiper,57.311075,57.34700600000001,-1.9933439999999998,-1.9850419999999998,1998.0,1998.0,14
Brünnich's Guillemot,57.131403000000006,57.140393,-2.059452,-2.042943,2007.0,2007.0,5
Buff-breasted Sandpiper,57.32904,57.61645,-1.993341,-1.8428740000000001,1989.0,2010.0,14
Bullfinch,56.027563,57.68650699999999,-3.989115,-1.7514060000000002,1900.0,2010.0,598
Buzzard,55.458153,57.703109,-4.965572,-1.7514060000000002,1960.0,2010.0,2450
Canada Goose,56.400929000000005,57.679345,-5.23876,-1.7763490000000002,1976.0,2010.0,441
Capercaillie,56.6,57.6,-3.9,-2.5,1900.0,2001.0,280
Carrion Crow,55.982471,57.717907999999994,-4.394129,-1.692752,1984.0,2010.0,1653
Caspian Tern,57.311075,57.625418999999994,-2.009954,-1.7763490000000002,2009.0,2009.0,16
Chaffinch,55.878003,57.697322,-4.394129,-1.752014,1900.0,2010.0,1985
Chiffchaff,56.753240000000005,57.844820999999996,-3.962705,-1.7514060000000002,1985.0,2010.0,659
Cirl Bunting,57.022087,57.628439,-3.2324029999999997,-2.422052,2001.0,2001.0,7
Citrine Wagtail,57.634401000000004,57.634401000000004,-1.8928049999999998,-1.8928049999999998,2009.0,2009.0,1
Coal Tit,56.115261,57.845071999999995,-4.120965,-1.676135,1900.0,2010.0,718
Collared Dove,56.194314,57.694128000000006,-3.823028,-1.7763490000000002,1984.0,2010.0,520
Common Guillemot,56.185331000000005,57.703889000000004,-3.6193779999999998,-1.7514060000000002,1992.0,2010.0,177
Common Gull,56.185331000000005,57.957786999999996,-3.7529230000000005,-1.7514060000000002,1900.0,2009.0,1060
Common Redpoll,56.642892,57.67443000000001,-3.678743,-1.7514060000000002,1960.0,2001.0,128
Common Rosefinch,56.8,57.6,-2.4,-1.8,1982.0,2008.0,13
Common Sandpiper,56.25951,57.679345,-4.253512000000001,-1.7514060000000002,1900.0,2010.0,698
Common Scoter,56.8,57.7,-3.8,-1.8,1992.0,2010.0,556
Common Tern,56.753415000000004,57.70635600000001,-3.503566,-1.7763490000000002,1984.0,2009.0,520
Continental Coal Tit,56.753240000000005,57.625418999999994,-4.056036,-1.7763490000000002,2002.0,2010.0,141
Coot,55.923802,57.682642,-4.314093,-1.7929869999999999,1900.0,2010.0,871
Cormorant,56.203298,57.703343000000004,-3.78085,-1.7514060000000002,1900.0,2010.0,1512
Corn Bunting,56.851572,57.68833299999999,-3.398933,-1.7929869999999999,1977.0,2010.0,352
Corncrake,56.96,57.63,-2.74,-1.7929400000000002,1984.0,2007.0,20
Corvid Species,57.03145,57.703109,-3.1032580000000003,-1.776568,2002.0,2009.0,70
Crane,56.861506000000006,57.677526,-2.917498,-1.843489,1988.0,2010.0,141
Crested Tit,57.020734,57.70028000000001,-3.9566230000000004,-2.843172,1900.0,2010.0,189
Crossbill,56.771435,57.696977000000004,-3.7018940000000002,-1.7763490000000002,1900.0,2010.0,333
Cuckoo,56.400705,57.67929300000001,-4.056036,-1.752014,1900.0,2010.0,424
Curlew,56.18234399999999,57.823048,-4.022568,-1.7514060000000002,1900.0,2010.0,2018
Curlew Sandpiper,56.762398,57.69730799999999,-2.418718,-1.7763490000000002,1995.0,2010.0,227
Dark-bellied Brent Goose,57.121828,57.652379,-2.389738,-1.8928049999999998,2000.0,2000.0,43
Desert Wheatear,57.131403000000006,57.203267000000004,-2.1255900000000003,-2.042943,2008.0,2008.0,15
Dipper,55.957563,57.975288,-4.055042,-1.7846669999999998,1900.0,2009.0,682
Dotterel,57.0,58.0,-4.0,-2.0,1900.0,2010.0,118
"Ducks, geese, swans",57.111383,57.328773,-2.719842,-2.208428,2009.0,2009.0,8
Dunlin,56.717307,57.876940000000005,-3.678743,-0.716286,1900.0,2010.0,1314
Dunnock,55.923501,57.697258,-4.330082,-1.7596009999999997,1900.0,2010.0,950
Dusky Warbler,57.346985,57.346993000000005,-1.9434900000000002,-1.9268740000000002,2004.0,2004.0,7
Eastern Olivaceous Warbler,57.346993000000005,57.346993000000005,-1.9434900000000002,-1.9434900000000002,2000.0,2000.0,2
Egyptian Goose,57.499607999999995,57.499607999999995,-2.1601630000000003,-2.1601630000000003,2008.0,2008.0,1
Eider,54.826663,57.706555,-4.344306,-1.7514060000000002,1992.0,2010.0,981
European White-fronted Goose,57.103010999999995,57.625404,-2.60413,-1.8092119999999998,2000.0,2009.0,21
Fieldfare,56.0,57.7,-4.3,-1.75141,1900.0,2010.0,877
Firecrest,56.443234,57.607380000000006,-3.1613290000000003,-1.7933419999999998,1997.0,2009.0,47
Forster's Tern,57.338023,57.338023,-2.009951,-2.009951,1994.0,1994.0,1
Frigatebirds,57.513001,57.513001,-1.7846669999999998,-1.7846669999999998,2010.0,2010.0,1
Fulmar,56.762398,57.703784,-3.678743,-1.7514060000000002,1985.0,2010.0,361
Gadwall,56.25951,57.697315,-3.678743,-1.7763490000000002,1970.0,2009.0,531
Gannet,56.753358999999996,57.697322,-3.150404,-1.7514060000000002,1992.0,2010.0,431
Gannets,57.670226,57.670226,-2.194443,-2.194443,2007.0,2007.0,1
Garden Warbler,56.762398,57.687994999999994,-3.678743,-1.7514060000000002,1970.0,2010.0,297
Garganey,57.1,57.7,-2.9,-1.8,1990.0,2008.0,279
Glaucous Gull,56.771381000000005,57.697322,-3.583126,-1.7514060000000002,1995.0,2010.0,517
Glossy Ibis,57.61645,57.661361,-1.9262810000000001,-1.9094849999999999,2009.0,2009.0,9
Goldcrest,56.369629,57.696977000000004,-4.3624279999999995,-1.7514060000000002,1900.0,2010.0,784
Golden Eagle,56.4,58.0,-5.2,-2.7,1900.0,2008.0,160
Golden Oriole,57.228807999999994,57.228807999999994,-3.616599,-3.616599,1990.0,1994.0,1
Golden Pheasant,57.176099,57.176099,-2.2414549999999998,-2.2414549999999998,2000.0,2000.0,1
Golden Plover,56.753240000000005,57.706555,-3.786132,-1.7514060000000002,1900.0,2010.0,916
Goldeneye,55.9,57.7,-5.0,-1.8,1900.0,2010.0,1998
Goldfinch,56.191572,57.697258,-3.895024,-1.7514060000000002,1975.0,2010.0,1489
Goosander,56.25951,57.717907999999994,-4.051080000000001,-1.7514060000000002,1900.0,2010.0,1241
Goose,57.140366,57.37394200000001,-2.357228,-1.9186349999999999,2004.0,2007.0,10
Goshawk,56.6,57.7,-3.9,-1.9,1900.0,2008.0,132
Grasshopper Warbler,56.753240000000005,57.69469599999999,-3.259671,-1.7929869999999999,1984.0,2010.0,220
Great Black-backed Gull,56.708383999999995,57.717907999999994,-3.766883,-1.7514060000000002,1960.0,2009.0,918
Great Crested Grebe,56.203298,57.681819,-3.799139,-1.7254049999999999,1984.0,2010.0,397
Great Grey Shrike,56.378606999999995,57.532582999999995,-4.0014769999999995,-1.960116,1960.0,2010.0,39
Great Northern Diver,56.960565,57.721189,-3.678743,-1.7514060000000002,1983.0,2010.0,566
Great Shearwater,56.956217,57.508494999999996,-2.083834,-1.7763490000000002,2005.0,2005.0,9
Great Skua,56.762398,57.763985999999996,-3.678743,-1.7514060000000002,1970.0,2010.0,819
Great Snipe,57.140386,57.140386,-2.0594669999999997,-2.0594669999999997,2004.0,2004.0,1
Great Spotted Woodpecker,56.027563,57.691134999999996,-4.29325,-1.7763490000000002,1900.0,2010.0,874
Great Tit,55.878003,57.835843999999994,-4.056036,-1.7095919999999998,1900.0,2010.0,1001
Great White Egret,56.771381000000005,57.634401000000004,-2.418818,-0.349152,2000.0,2010.0,101
Greater Sand Plover,57.311075,57.338023,-2.009951,-1.993341,2008.0,2008.0,35
Greater Yellowlegs,57.32904,57.32904,-1.993341,-1.993341,2010.0,2010.0,1
Green Sandpiper,56.0,58.0,-4.0,-2.0,1900.0,2010.0,337
Green Woodpecker,56.166075,57.68311,-3.864008,-2.076851,1970.0,2010.0,166
Green-winged Teal,57.086467000000006,57.625418999999994,-2.373585,-1.842642,2000.0,2010.0,31
Greenfinch,55.878003,57.697322,-3.895024,-1.7846669999999998,1900.0,2010.0,928
Greenish Warbler,57.09545,57.625418999999994,-2.0924009999999997,-1.8426810000000002,1994.0,1994.0,26
Greenland Wheatear,57.517506000000004,57.517506000000004,-1.7929869999999999,-1.7929869999999999,1995.0,1995.0,1
Greenland White-fronted Goose,57.120366000000004,57.634414,-2.7200159999999998,-1.750795,1997.0,2010.0,118
Greenshank,56.75,57.7,-3.68,-1.75,1900.0,2009.0,1285
Grey Heron,55.983013,57.717907999999994,-5.126108,-1.7514060000000002,1900.0,2010.0,1844
Grey Partridge,56.391949,57.697274,-3.8920449999999995,-1.7514060000000002,1984.0,2010.0,507
Grey Phalarope,56.848130000000005,57.697322,-2.280323,-1.7763490000000002,2000.0,2000.0,40
Grey Plover,56.717307,57.697287,-3.752121,-1.7514060000000002,1993.0,2009.0,365
Grey Wagtail,56.378389,57.713452000000004,-3.8300300000000003,-1.7514060000000002,1900.0,2010.0,835
Grey-headed Wagtail,57.22123199999999,57.61645,-2.059597,-1.9095970000000002,2004.0,2004.0,3
Greylag Goose,56.25951,57.69730799999999,-3.80133,-1.7514060000000002,1960.0,2010.0,1355
Grouse,57.387190000000004,57.387190000000004,-3.091211,-3.091211,2006.0,2006.0,1
Gulls,57.140393,57.508494999999996,-2.042943,-1.7763490000000002,2007.0,2007.0,7
Gyr Falcon,57.138147,57.138147,-3.678743,-3.678743,1960.0,1994.0,2
Hawfinch,56.780519999999996,57.607380000000006,-3.304213,-1.8259459999999998,1992.0,2009.0,30
Hen Harrier,56.7,57.7,-4.0,-1.7520099999999998,1900.0,2010.0,555
Herring Gull,56.25951,57.957786999999996,-3.750317,-1.7514060000000002,1900.0,2010.0,1045
Hobby,57.0,57.7,-3.6,-1.8,2000.0,2007.0,39
Honey-buzzard,56.8,57.6,-3.6,-1.9,1990.0,2008.0,17
Hooded Crow,56.520988,57.697322,-3.7498910000000003,-1.7514060000000002,1994.0,2010.0,311
Hoopoe,56.906539,57.607356,-3.8920449999999995,-1.8092119999999998,2002.0,2005.0,14
House Martin,56.25951,57.697322,-4.22238,-1.7514060000000002,1900.0,2010.0,650
House Sparrow,56.185331000000005,57.697322,-3.942483,-1.7514060000000002,1900.0,2010.0,1216
Hume's Warbler,57.014536,57.257171,-2.1581069999999998,-2.043069,2004.0,2004.0,11
Iceland Gull,56.771381000000005,57.697322,-2.815254,-1.7514060000000002,1995.0,2010.0,546
Icterine Warbler,57.131403000000006,57.607422,-2.192776,-1.8092119999999998,2000.0,2000.0,19
Indet. Gull,57.34700600000001,57.697322,-1.993338,-1.7763490000000002,2005.0,2005.0,10
Indet. Harrier,57.355982,57.355982,-1.9600959999999998,-1.9600959999999998,2010.0,2010.0,1
Indet. Pipit,57.30998,57.30998,-2.524523,-2.524523,2009.0,2009.0,1
Indet. Plover,56.18234399999999,57.027938,-3.910682,-3.080659,1998.0,1998.0,3
Indet. Sparrow,57.15780899999999,57.587525,-2.712498,-2.210012,2005.0,2009.0,8
Jack Snipe,56.762398,57.697274,-3.616599,-1.7846669999999998,1985.0,2010.0,178
Jackdaw,54.826663,57.697322,-4.344306,-1.752014,1900.0,2010.0,1219
Jay,56.307055000000005,57.6913,-3.7746180000000003,-2.0099560000000003,1984.0,2009.0,404
Kentish Plover,57.32904,57.32904,-1.993341,-1.993341,1980.0,1981.0,2
Kestrel,54.826663,57.697315,-5.108437,-1.7514060000000002,1900.0,2010.0,1316
King Eider,56.843656,57.679345,-3.0998330000000003,-1.7514060000000002,1981.0,2010.0,217
Kingfisher,56.1589,57.67443000000001,-3.781283,-1.752014,1989.0,2010.0,315
Kittiwake,56.762398,57.70635600000001,-3.678743,-1.7514060000000002,1980.0,2010.0,507
Knot,56.717307,57.717907999999994,-3.618178,-1.7514060000000002,1992.0,2009.0,615
Kumlien's Gull,57.346985,57.697322,-2.026828,-1.7763490000000002,2007.0,2009.0,9
Lapland Bunting,56.951581999999995,57.696977000000004,-3.678743,-1.8092119999999998,1970.0,2010.0,130
Lapwing,55.466919999999995,57.697322,-4.811526000000001,-1.7514060000000002,1900.0,2010.0,2081
Lark Sparrow,57.140227,57.140227,-2.208175,-2.208175,2004.0,2004.0,1
Leach's Petrel,56.969547999999996,57.763985999999996,-3.616599,-1.7763490000000002,1990.0,1994.0,19
Lesser Black-backed Gull,56.25951,57.696977000000004,-3.678743,-0.716286,1960.0,2010.0,750
Lesser Grey Shrike,57.311075,57.32005699999999,-2.009946,-1.9933439999999998,2004.0,2004.0,5
Lesser Redpoll,56.771537,57.715222,-3.7498910000000003,-1.7514060000000002,1990.0,2010.0,267
Lesser White-fronted Goose,57.58501700000001,57.625404,-1.918037,-1.876089,2005.0,2005.0,2
Lesser Whitethroat,56.771537,57.696977000000004,-3.616599,-1.7763490000000002,1985.0,2010.0,201
Lesser Yellowlegs,57.32904,57.625404,-1.993341,-1.876089,2009.0,2009.0,7
Light-bellied Brent Goose,56.834672999999995,57.697322,-2.373585,-1.7763490000000002,2000.0,2008.0,187
Linnet,56.232792,57.697322,-4.3624279999999995,-1.752014,1984.0,2010.0,809
Little Auk,56.655702000000005,57.706304,-4.01909,-1.7514060000000002,1986.0,2009.0,336
Little Bunting,57.134567000000004,57.134567000000004,-2.579862,-2.579862,2004.0,2004.0,2
Little Egret,57.10442,57.670363,-3.583126,-0.349152,2000.0,2009.0,362
